roi,area_mm2
A18_19_A19-01,946704
A18_19_A19-02,1666560
A18_19_A19-03,2130870
A18_19_A19-04,2701724
A18_19_A19-05,1538208
A18_19_A19-06,702100
A18_19_A19-07,968484
A19_15_A24-06,498168
A19_15_A24-07,1136751
A19_15_A24-08,2689536
A19_15_A24-09,1124760
A19_15_A24-10,570500
A19_15_A24-11,539358
A19_15_A24-12,1000000
A19_15_A24-13,1664856
A19_33_A26-02,1033713
A19_33_A26-03,1557090
A19_33_A26-04,1387740
A19_33_A26-05,984312
A19_33_A26-06,1192288
A19_33_A26-07,1938870
S19_6699_B9-01,3528877
S19_6699_B9-02,1193466
S19_6699_B9-03,1252868
S19_6699_B9-04,843180
S19_6699_B9-05,788242
S19_6699_B9-06,352275
A21_48_A21-01,700982
A21_48_A21-02,2281478
A21_48_A21-03,1433664
A21_48_A21-04,1816528
A21_48_A21-05,541562
A21_48_A21-06,838156
A21_48_A21-07,979700
A21_48_A21-08,814980
A21_48_A21-09,553284
A21_48_A21-10,1389530
A21_48_A21-11,417453
A21_48_A21-12,866008
S15_38419_B1-01,2087584
S15_38419_B1-02,2352834
S15_38419_B1-03,2091648
S15_38419_B1-04,1661473
S15_38419_B1-05,2653448
S15_38419_B1-06,557375
S15_38419_B1-07,858528
S17_22391_A4-01,1961856
S17_22391_A4-02,1244724
S17_22391_A4-03,2506816
S17_22391_A4-04,2705018
S17_22391_A4-05,2183335
S17_22391_A4-06,3058776
S20_1842_A7-01,3035808
S20_1842_A7-02,2754102
S20_1842_A7-03,1251328
S20_1842_A7-04,950799
S20_1842_A7-05,776075
S20_1842_A7-06,1350168
A20_47_A37-01,920568
A20_47_A37-02,970632
A20_47_A37-03,1804050
A20_47_A37-04,825858
A20_47_A37-05,943736
A20_47_A37-06,401931
A20_47_A37-07,247104
A20_47_A37-08,718236
A20_47_A37-09,1862784
A20_55_A24-01,2209130
A20_55_A24-02,1318680
A20_55_A24-03,2190266
A20_55_A24-04,429590
A20_55_A24-05,2276750
A20_55_A24-06,241960
A20_77_A27-01,516592
A20_77_A27-02,968219
A20_77_A27-03,952292
A20_77_A27-04,504075
A20_77_A27-05,1079630
A20_77_A27-06,1345200
A20_77_A27-07,2614746
A20_77_A27-08,1410336
A20_79_A23-01,416673
A20_79_A23-02,1574266
A20_79_A23-03,496856
A20_79_A23-04,507848
A20_79_A23-05,401622
A20_79_A23-06,828954
A20_79_A23-07,537866
A20_79_A23-08,2597364
A20_79_A23-09,3460809
A20_79_A23-10,949592
A20_100_A28-01,2590028
A20_100_A28-02,1827616
A20_100_A28-03,1444320
A20_100_A28-04,907632
A20_100_A28-05,554320
A20_100_A28-06,840868
A20_100_A28-07,560800
A20_100_A28-08,598300
A20_100_A28-09,416702
A20_100_A28-10,315552
A20_100_A28-11,228800
A20_102_A34-01,1940940
A20_102_A34-02,697300
A20_102_A34-03,1555402
A20_102_A34-04,1127892
A20_102_A34-05,291242
A20_102_A34-06,854280
A20_102_A34-07,900804
A20_102_A34-08,530706
A20_105_A25-01,1624760
A20_105_A25-02,2072964
A20_105_A25-03,1625882
A20_105_A25-04,805754
A20_105_A25-05,1942598
A20_105_A25-07,700544
A20_105_A25-08,462220
A20_105_A25-09,820573
A20_137_A26-01,642446
A20_137_A26-02,818987
A20_137_A26-03,1763280
A20_137_A26-04,1399389
A20_137_A26-05,1251068
A20_137_A26-06,1342209
A20_185_A33_v1-01,2355341
A20_185_A33_v1-02,1699176
A20_185_A33_v1-03,2305570
A20_185_A33_v1-04,1830544
A20_185_A33_v1-05,666465
A20_185_A33_v1-06,962297
A20_185_A33_v1-07,1560670
A21_22_A38-01,3083007
A21_22_A38-02,1171728
A21_22_A38-04,1964088
A21_22_A38-05,2894307
A21_36_A18-01,1544490
A21_36_A18-02,796328
A21_36_A18-03,1166724
A21_36_A18-04,615230
A21_36_A18-05,863320
A21_36_A18-06,1330661
A21_36_A18-07,810240
A21_36_A18-08,677816
A21_63_A14-01,2266693
A21_63_A14-02,585900
A21_63_A14-03,719616
A21_63_A14-04,268200
A21_63_A14-05,299637
A21_63_A14-06,891210
A21_63_A14-07,1357792
A21_63_A14-08,986240
A21_67_A30-01,523619
A21_67_A30-02,923335
A21_67_A30-03,504444
A21_67_A30-04,552165
A21_67_A30-05,716844
A21_67_A30-06,1372256
A21_67_A30-07,241996
A21_67_A30-08,483230
A21_67_A30-09,873015
A21_67_A30-10,689088
A21_67_A30-11,704544
A21_67_A30-12,736440
A21_70_A37-01,3807375
A21_70_A37-02,1085460
A21_70_A37-03,671232
A21_70_A37-04,1766880
A21_70_A37-05,1168960
A21_76_A16-01,3111552
A21_76_A16-02,1646184
A21_76_A16-03,1018958
A21_76_A16-04,1139214
A21_76_A16-05,1247324
A21_76_A16-06,737760
A21_76_A16-07,903474
